"","Var1","Freq"
"1","红斑狼疮",74
"2","狼疮性肾炎",175
"3","慢性肾小球肾炎",80
"4","慢性肾炎",72
"5","慢性肾炎综合征",74
"6","慢性肾脏病 CKD1",13
"7","慢性肾脏病 CKD2",52
"8","慢性肾脏病 CKD4",33
"9","慢性肾脏病1期",26
"10","慢性肾脏病2期",116
"11","慢性肾脏病3期",370
"12","慢性肾脏病4期",309
"13","膜性肾病",13
"14","肾病综合征",97
"15","肾病综合征，膜性肾病",76
"16","肾病综合征，肾小球轻微病变",57
"17","糖尿病伴有肾的并发症",74
"18","糖尿病性视网膜病变",22
"19","系膜增生性IgA肾病",20
"20","系统性红斑狼疮",210
"21","系统性红斑狼疮，累及器官或系统",28
"22","下肢静脉曲张伴有炎症",25
"23","药物性系统性红斑狼疮",111
"24","异体肾移植状态",77
"25","张力性尿失禁",27
"26","IgA肾病",396
"27","IGA肾病",74
